aX,aY,aZ
-1219,106,-302
-1281,169,-284
-1281,169,-284
-1281,169,-284
-1281,169,-284
-1281,169,-284
-1338,254,-291
-1338,254,-291
-1338,254,-291
-1338,254,-291
-1338,254,-291
-1338,254,-291
-1363,338,-311
-1363,338,-311
-1363,338,-311
-1363,338,-311
-1363,338,-311
-1363,338,-311
-1360,382,-330
-1360,382,-330
-1360,382,-330
-1360,382,-330
-1360,382,-330
-1360,382,-330
-1337,371,-342
-1337,371,-342
-1337,371,-342
-1337,371,-342
-1337,371,-342
-1337,371,-342
-1314,291,-324
-1314,291,-324
-1314,291,-324
-1314,291,-324
-1314,291,-324
-1314,291,-324
-1317,161,-295
-1317,161,-295
-1317,161,-295
-1317,161,-295
-1317,161,-295
-1317,161,-295
-1317,161,-295
-1347,18,-263
-1347,18,-263
-1347,18,-263
-1347,18,-263
-1347,18,-263
-1395,-127,-233
-1395,-127,-233
-1395,-127,-233
-1395,-127,-233
-1395,-127,-233
-1395,-127,-233
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1465,-232,-190
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1553,-285,-130
-1382,-154,23
-1382,-154,23
-1382,-154,23
-1382,-154,23
-1382,-154,23
-1382,-154,23
-1252,-119,106
-1252,-119,106
-1084,-94,148
-1084,-94,148
-1084,-94,148
-1084,-94,148
-1084,-94,148
-1084,-94,148
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86
-826,-54,86

-1813,533,-28
-1813,533,-28
-1807,536,-77
-1807,536,-77
-1807,536,-77
-1807,536,-77
-1807,536,-77
-1711,503,-137
-1711,503,-137
-1711,503,-137
-1711,503,-137
-1711,503,-137
-1711,503,-137
-1597,477,-163
-1597,477,-163
-1597,477,-163
-1597,477,-163
-1597,477,-163
-1518,459,-129
-1518,459,-129
-1518,459,-129
-1518,459,-129
-1518,459,-129
-1518,459,-129
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1529,428,-24
-1554,364,299
-1554,364,299
-1554,364,299
-1554,364,299
-1554,364,299
-1554,364,299
-1393,342,344
-1393,342,344
-1393,342,344
-1393,342,344
-1393,342,344
-1393,342,344
-1065,398,378
-1065,398,378
-1065,398,378
-1065,398,378
