aX,aY,aZ
-243,-311,-487
-243,-311,-487
-243,-311,-487
-243,-311,-487
-208,-368,-503
-208,-368,-503
-208,-368,-503
-208,-368,-503
-208,-368,-503
-208,-368,-503
-208,-368,-503
-208,-368,-503
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
-97,-388,-557
202,-380,-411
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
702,-324,-11
1286,-191,419
1286,-191,419
1286,-191,419
1286,-191,419
1286,-191,419
1286,-191,419
1286,-191,419
1737,-59,507
1737,-59,507
1737,-59,507
1737,-59,507
1737,-59,507
1737,-59,507
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2014,6,258
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
2045,-54,366
1976,75,421
1976,75,421
1976,75,421
1976,75,421
1976,75,421
1976,75,421
1976,75,421
1976,75,421
1976,75,421
1976,75,421
1689,152,333
1689,152,333
1689,152,333
1689,152,333
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1616,84,152
1866,14,-20
1866,14,-20
1866,14,-20
2047,-50,-208
2047,-50,-208
2047,-50,-208
2047,-50,-208
2047,-50,-208
2047,-50,-208
2047,-50,-208
-771,-351,-295
-771,-351,-295
-771,-351,-295
-771,-351,-295
-771,-351,-295
-695,-203,10
-695,-203,10
-695,-203,10
-695,-203,10
-695,-203,10
-695,-203,10
-695,-203,10
-695,-203,10
-695,-203,10
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
-302,15,187
635,169,474
635,169,474
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
1836,244,738
2047,140,484
2047,140,484
2047,140,484
2047,140,484
2047,140,484
2047,140,484
2047,140,484
2039,-33,268
2039,-33,268
2039,-33,268
2039,-33,268
2039,-33,268
2039,-33,268
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2041,-36,70
2047,57,-48
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1947,169,-358
1546,-9,-98
1546,-9,-98
1546,-9,-98
1546,-9,-98
1546,-9,-98
1546,-9,-98
1546,-9,-98
1546,-9,-98
1546,-9,-98
1546,-9,-98
881,282,-139
881,282,-139
881,282,-139
881,282,-139
548,248,-111
548,248,-111
548,248,-111
548,248,-111
548,248,-111
