aX,aY,aZ
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1589,208,-1000
1567,291,-927
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1841,373,-889
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1941,347,-410
1585,186,-211
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
1433,190,-551
957,216,-765
957,216,-765
957,216,-765
957,216,-765
957,216,-765
957,216,-765
957,216,-765
957,216,-765
957,216,-765
226,-90,-476
226,-90,-476
226,-90,-476
226,-90,-476
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-150,-72,-449
-33,282,-560
-33,282,-560
-33,282,-560
-33,282,-560
318,104,-572
318,104,-572
318,104,-572
318,104,-572
318,104,-572
318,104,-572
318,104,-572
318,104,-572
318,104,-572
318,104,-572
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
307,357,-540
-416,398,-133
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1242,-82,386
-1074,-135,476
-1074,-135,476
-1074,-135,476
-1074,-135,476
-1074,-135,476
-1074,-135,476
-1074,-135,476
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1565,372,-91
1871,366,-104
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,353,-30
2047,240,171
2047,240,171
2047,240,171
2047,240,171
2047,240,171
2047,240,171
2047,240,171
2047,240,171
2042,177,151
2042,177,151
2042,177,151
2042,177,151
2042,177,151
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
1782,86,658
800,36,865
800,36,865
800,36,865
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
67,199,589
-606,250,199
-606,250,199
-606,250,199
-606,250,199
-606,250,199
-606,250,199
-606,250,199
-606,250,199
-1340,237,-399
-1340,237,-399
-1340,237,-399
-1340,237,-399
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1687,183,-835
-1528,105,-1032
-1528,105,-1032
-1528,105,-1032
-1528,105,-1032
-1528,105,-1032
-1528,105,-1032
-726,-199,-640
-726,-199,-640
-726,-199,-640
-726,-199,-640
-726,-199,-640
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-76,-1087,753
-815,-1109,-164
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1864,313,-816
1772,333,92
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
1255,469,216
756,633,135
756,633,135
756,633,135
756,633,135
756,633,135
756,633,135
756,633,135
756,633,135
756,633,135
1185,271,593
1185,271,593
1185,271,593
1185,271,593
1185,271,593
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1632,120,739
1418,161,77
1418,161,77
1418,161,77
1418,161,77
1203,295,-429
1203,295,-429
1203,295,-429
1203,295,-429
1203,295,-429
1203,295,-429
1203,295,-429
1203,295,-429
1203,295,-429
