aX,aY,aZ
1314,-460,-218
1314,-460,-218
1314,-460,-218
1314,-460,-218
1314,-460,-218
1314,-460,-218
1314,-460,-218
1314,-460,-218
1314,-460,-218
1483,-625,-124
1483,-625,-124
1483,-625,-124
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1581,-789,52
1520,-886,88
1520,-886,88
1520,-886,88
1520,-886,88
1520,-886,88
1312,-947,29
1312,-947,29
1312,-947,29
1312,-947,29
1312,-947,29
1312,-947,29
1312,-947,29
1312,-947,29
1312,-947,29
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1119,-987,-3
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1049,-864,-136
1109,-804,-93
1109,-804,-93
1109,-804,-93
1109,-804,-93
1109,-804,-93
1109,-804,-93
1109,-804,-93
1109,-804,-93
1109,-804,-93
1109,-804,-93
1099,-811,-27
1099,-811,-27
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
903,-805,-41
653,-716,-127
653,-716,-127
653,-716,-127
653,-716,-127
653,-716,-127
447,-609,-150
447,-609,-150
447,-609,-150
447,-609,-150
447,-609,-150
447,-609,-150
447,-609,-150
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
303,-456,-178
261,-308,-179
261,-308,-179
533,-156,74
533,-156,74
533,-156,74
533,-156,74
1292,-1007,21
1292,-1007,21
1292,-1007,21
1292,-1007,21
1292,-1007,21
1292,-1007,21
1292,-1007,21
1198,-1192,-11
1198,-1192,-11
1198,-1192,-11
1198,-1192,-11
1198,-1192,-11
1198,-1192,-11
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1087,-1342,-13
1003,-1384,-53
1003,-1384,-53
1003,-1384,-53
1003,-1384,-53
944,-1337,-57
