aX,aY,aZ
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
813,-236,-170
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
678,-396,-261
500,-460,-450
500,-460,-450
500,-460,-450
500,-460,-450
500,-460,-450
500,-460,-450
500,-460,-450
500,-460,-450
500,-460,-450
463,-547,-566
463,-547,-566
463,-547,-566
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
546,-610,-475
663,-672,-262
663,-672,-262
663,-672,-262
663,-672,-262
663,-672,-262
749,-672,-123
749,-672,-123
749,-672,-123
749,-672,-123
749,-672,-123
749,-672,-123
749,-672,-123
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
607,-607,-13
384,-499,-61
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
162,-369,-142
-23,-258,-156
-23,-258,-156
-23,-258,-156
-23,-258,-156
-23,-258,-156
-23,-258,-156
-23,-258,-156
-23,-258,-156
-23,-258,-156
-18,-146,-199
-18,-146,-199
-18,-146,-199
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
116,-45,-165
220,57,-66
220,57,-66
220,57,-66
220,57,-66
220,57,-66
270,240,-57
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
820,-27,-183
667,22,-327
667,22,-327
667,22,-327
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
392,-10,-494
260,-96,-573
260,-96,-573
260,-96,-573
